Nev;Id;Ertekeles;ErtekelokSzama;Kiadas
Age of Empires® III (2007);105450;90;32096;2009. 09. 15.
Age of Mythology: Extended Edition;266840;93;31101;2014. 05. 08.
Alan Wake;108710;90;37471;2012. 02. 16.
Alan Wake's American Nightmare;202750;73;6905;2012. 05. 22.
Batman: Arkham Asylum Game of the Year Edition;35140;96;53611;2010. 03. 26.
Batman: Arkham City - Game of the Year Edition;200260;95;50012;2012. 09. 07.
Batman™: Arkham Knight;208650;92;98269;2015. 06. 23.
Batman™: Arkham Origins;209000;89;40293;2013. 10. 24.
Batman™: Arkham Origins Blackgate - Deluxe Edition;267490;44;1516;2014. 04. 01.
BioShock Infinite;8870;93;106503;2013. 03. 25.
BioShock® 2;8850;88;11065;2010. 02. 09.
BioShock™;7670;93;24300;2007. 08. 21.
Blades of Time;208670;81;890;2012. 04. 20.
BloodRayne Betrayal (Legacy);281220;59;629;2014. 04. 30.
Borderlands 2;49520;89;207490;2012. 09. 17.
Borderlands: The Pre-Sequel;261640;78;31019;2014. 10. 14.
Borderless Gaming;388080;83;3749;2015. 07. 23.
Command & Conquer 3 Tiberium Wars™;24790;89;8090;2007. 03. 28.
Command & Conquer: Red Alert 3 - Uprising;24800;85;4189;2009. 03. 12.
Command & Conquer™ 3: Kane’s Wrath;24810;93;4874;2009. 11. 13.
Command & Conquer™ 4 Tiberian Twilight;47700;15;4426;2010. 03. 16.
Command & Conquer™ Red Alert™ 3;17480;85;13835;2008. 10. 28.
Counter-Strike 2;730;86;8961087;2012. 08. 21.
Crypt of the NecroDancer;247080;95;22833;2015. 04. 23.
Day of Defeat: Source;300;90;15407;2005. 09. 26.
DEAD OR ALIVE 5 Last Round: Core Fighters;311730;68;10073;2015. 03. 30.
Devil May Cry 4 Special Edition;329050;88;14365;2015. 06. 23.
DmC: Devil May Cry;220440;93;19009;2013. 01. 24.
ENSLAVED™: Odyssey to the West™ Premium Edition;245280;86;5443;2013. 10. 24.
Geometry Wars: Retro Evolved;8400;90;958;2007. 03. 07.
Geometry Wars™ 3: Dimensions Evolved;310790;90;1230;2014. 11. 25.
Giana Sisters 2D;350770;64;226;2015. 10. 23.
Giana Sisters: Twisted Dreams;223220;81;987;2012. 10. 22.
Giana Sisters: Twisted Dreams - Rise of the Owlverlord;246960;83;334;2013. 09. 26.
Grand Theft Auto V Legacy;271590;87;1832849;2015. 04. 14.
Half-Life Deathmatch: Source;360;73;3990;2006. 05. 01.
Halo: Spartan Assault;277430;78;4199;2014. 04. 04.
Halo: Spartan Strike;324570;80;1500;2014. 12. 12.
Hard Reset Extended Edition;98400;82;3668;2012. 07. 12.
Hotel Giant 2;38230;47;251;2010. 01. 27.
Industry Giant 2;271360;86;811;2015. 08. 14.
Injustice: Gods Among Us Ultimate Edition;242700;86;9506;2013. 11. 12.
Jets'n'Guns Gold;262260;88;1212;2014. 02. 05.
Lara Croft and the Guardian of Light;35130;92;3390;2010. 09. 28.
LARA CROFT AND THE TEMPLE OF OSIRIS™;289690;66;1187;2014. 12. 08.
Left 4 Dead;500;96;53536;2008. 11. 17.
Left 4 Dead 2;550;97;750015;2009. 11. 16.
Metro 2033 Redux;286690;90;83690;2014. 08. 25.
Mirror's Edge™;17410;87;29930;2009. 01. 13.
Oddworld: Munch's Oddysee;15740;77;938;2010. 12. 20.
Oddworld: New 'n' Tasty;314660;87;2806;2015. 02. 25.
Oddworld: Stranger's Wrath HD;15750;87;1435;2010. 12. 20.
Portal;400;98;157115;2007. 10. 10.
Portal 2;620;98;366305;2011. 04. 18.
Resident Evil;304240;92;20825;2015. 01. 19.
Resident Evil 4 (2005);254700;93;67174;2014. 02. 27.
Resident Evil 5;21690;87;36293;2009. 09. 15.
Resident Evil 6;221040;79;40538;2013. 03. 22.
Resident Evil Revelations;222480;82;9635;2013. 05. 20.
Resident Evil Revelations 2;287290;78;23170;2015. 02. 24.
Saints Row 2;9480;74;11949;2009. 01. 28.
Saints Row IV: Re-Elected;206420;87;57145;2013. 08. 19.
Saints Row: Gat out of Hell;301910;75;7535;2015. 01. 20.
Saints Row: The Third;55230;95;48060;2011. 11. 14.
SEGA Mega Drive and Genesis Classics;34270;80;11910;2010. 06. 01.
Serious Sam 3: BFE;41070;88;21113;2011. 11. 22.
Serious Sam HD: The First Encounter;41000;93;6736;2009. 11. 24.
Serious Sam HD: The Second Encounter;41010;92;194;2010. 04. 28.
Shadow Warrior;233130;92;15587;2013. 09. 26.
Shantae and the Pirate's Curse;345820;94;1730;2015. 04. 23.
Shantae: Risky's Revenge - Director's Cut;277890;87;1143;2014. 07. 15.
Sky Force Anniversary;355050;92;2016;2015. 04. 30.
Sonic & All-Stars Racing Transformed Collection;212480;93;11404;2013. 01. 31.
Sonic & SEGA All-Stars Racing;34190;88;2375;2010. 03. 03.
Sonic Adventure 2;213610;90;21513;2012. 11. 19.
Sonic Adventure DX;71250;92;14210;2011. 03. 04.
Sonic Generations Collection;71340;93;20147;2011. 11. 03.
Sonic Lost World;329440;65;3697;2015. 11. 02.
Sonic the Hedgehog 4 - Episode I;202530;44;2321;2012. 01. 19.
Sonic the Hedgehog 4 - Episode II;203650;78;1544;2012. 05. 15.
THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION;222420;90;2355;2014. 12. 16.
THE KING OF FIGHTERS 2002 UNLIMITED MATCH;222440;94;3925;2015. 02. 27.
THE KING OF FIGHTERS XIII STEAM EDITION;222940;89;10510;2013. 09. 13.
The Witcher 2: Assassins of Kings Enhanced Edition;20920;89;77372;2011. 05. 17.
The Witcher 3: Wild Hunt;292030;96;772800;2015. 05. 18.
The Witcher: Enhanced Edition Director's Cut;20900;89;57407;2008. 09. 16.
Tomb Raider;203160;96;157890;2013. 03. 04.
Tomb Raider I (1996);224960;85;3961;2012. 11. 28.
Tomb Raider II (1997);225300;86;1991;2012. 11. 28.
Tomb Raider III (1998);225320;84;1287;2012. 11. 28.
Tomb Raider IV: The Last Revelation (1999);224980;85;1248;2012. 11. 28.
Tomb Raider V: Chronicles (2000);225000;73;765;2012. 11. 28.
Tomb Raider VI: The Angel of Darkness (2003);225020;60;1418;2012. 11. 28.
Tomb Raider: Anniversary;8000;81;6061;2007. 06. 05.
Tomb Raider: Legend;7000;87;4818;2006. 04. 07.
Tomb Raider: Underworld;8140;76;5593;2008. 11. 21.
Trine 2: Complete Story;35720;95;15037;2013. 06. 06.
Trine 3: The Artifacts of Power;319910;63;7058;2015. 08. 20.
Trine Enchanted Edition;35700;95;12419;2009. 07. 02.
Ultra Street Fighter® IV;45760;91;10293;2014. 08. 07.
Viscera Cleanup Detail: Shadow Warrior;255520;80;2314;2013. 10. 11.
X-Blades;7510;59;1014;2009. 02. 10.
